"pop","n","Fis","n_ests","ll","hl"
"100",5,0.0351,147,-0.002,0.1603
"103",4,0.0341,109,-0.0209,0.197
"104",6,-0.0209,148,-0.0987,0.0687
"112",20,0.0442,135,0.03,0.1748
"113",15,0.0613,117,0.025,0.2329
"158",16,0.0549,107,0.0373,0.1892
"172",16,0.0262,119,-0.0111,0.1253
"179",19,0.0447,121,0.0469,0.2014
"201",19,0.0436,114,-0.01,0.1507
"204",6,0.0641,75,0.0231,0.2636
"205",7,0.0477,71,-0.0208,0.2104
"210",3,0.1177,68,-0.0047,0.335
"214",5,-0.0691,74,-0.1883,0.095
"215",6,0.0016,155,-0.0581,0.0814
"217",6,0.0663,163,0.0284,0.1949
"39",7,0.0781,75,0.0257,0.2622
"70",17,0.0449,107,0.0196,0.1836
"95",16,0.0588,119,0.0468,0.2123
"96",14,0.0869,115,0.0533,0.2209
